question,answer
what is staphylococcus aureus?,"On this Page General Information about VISA/VRSA What is Staphylococcus aureus? How do VISA and VRSA get their names? What should a patient do if they suspect they have a Staph, MRSA, VISA, or VRSA infection? Are VISA and VRSA infections treatable? How can the spread of VISA and VRSA be prevented? What should a person do if a family member or close friend has VISA or VRSA? What is CDC doing to address VISA and VRSA? Recommendations and Guidelines General Information about VISA/VRSA For more images of this bacterium, search the Public Health Image Library Vancomycin [van−kō−mī−sin]-intermediate Staphylococcus aureus [staff−u−lu−kaw−kus  aw−ree−us] (also called VISA) and Vancomycin-resistant Staphylococcus aureus (also called VRSA) are specific types of antimicrobial-resistant bacteria. However, as of October 2010, all VISA and VRSA isolates have been susceptible to other Food and Drug Administration (FDA)-approved drugs. Persons who develop this type of staph infection may have underlying health conditions (such as diabetes and kidney disease), tubes going into their bodies (such as catheters), previous infections with methicillin-resistant Staphylococcus aureus (MRSA), and recent exposure to vancomycin and other antimicrobial agents. What is Staphylococcus aureus? Staphylococcus aureus is a bacterium commonly found on the skin and in the nose of about 30% of individuals. Most of the time, staph does not cause any harm. These infections can look like pimples, boils, or other skin conditions and most are able to be treated. Sometimes staph bacteria can get into the bloodstream and cause serious infections which can be fatal, including: Bacteremia or sepsis when bacteria spread to the bloodstream usually as a result of using catheters or having surgery. Pneumonia which predominantly affects people with underlying lung disease including those on mechanical ventilators. Endocarditis (infection of the heart valves) which can lead to heart failure. Osteomyelitis (bone infection) which can be caused by staph bacteria traveling in the bloodstream or put there by direct contact such as following trauma (puncture wound of foot or intravenous (IV) drug abuse). Top of page How do VISA and VRSA get their names? Staph bacteria are classified as VISA or VRSA based on laboratory tests. Laboratories perform tests to determine if staph bacteria are resistant to antimicrobial agents that might be used for treatment of infections. For vancomycin and other antimicrobial agents, laboratories determine how much of the agent it requires to inhibit the growth of the organism in a test tube. The result of the test is usually expressed as a minimum inhibitory concentration (MIC) or the minimum amount of antimicrobial agent that inhibits bacterial growth in the test tube. Therefore, staph bacteria are classified as VISA if the MIC for vancomycin is 4-8µg/ml, and classified as VRSA if the vancomycin MIC is ≥16µg/ml. Top of page What should a patient do if they suspect they have a staph, MRSA, VISA, or VRSA infection? See a healthcare provider. Top of page Are VISA and VRSA infections treatable? Yes. As of October 2010, all VISA and VRSA isolates have been susceptible to several Food and Drug Administration (FDA)-approved drugs. Top of page How can the spread of VISA and VRSA be prevented? Use of appropriate infection control practices (such as wearing gloves before and after contact with infectious body substances and adherence to hand hygiene) by healthcare personnel can reduce the spread of VISA and VRSA. Top of page What should a person do if a family member or close friend has VISA or VRSA? VISA and VRSA are types of antibiotic-resistant staph bacteria. Therefore, as with all staph bacteria, spread occurs among people having close physical contact with infected patients or contaminated material, such as bandages. Persons having close physical contact with infected patients while they are outside of the healthcare setting should: (1) keep their hands clean by washing thoroughly with soap and water, and (2) avoid contact with other people's wounds or material contaminated from wounds. If they go to the hospital to visit a friend or family member who is infected with VISA or VRSA , they must follow the hospital's recommended precautions. Top of page What is CDC doing to address VISA and VRSA? In addition to providing guidance for clinicians and infection control personnel, CDC is also working with state and local health agencies, healthcare facilities, and clinical microbiology laboratories to ensure that laboratories are using proper methods to detect VISA and VRSA. Top of page Recommendations and Guidelines CDC issued a Clinical Reminder, in 2010, which serves as a reminder about the important role of clinical laboratories in the diagnosis of VRSA cases to ensure prompt recognition, isolation, and management by infection control personnel. Investigation and Control of Vancomycin-Resistant Staphylococcus aureus (VRSA) [PDF - 300 KB] - This document is a guide to conducting a public health investigation of patients from whom vancomycin-resistant Staphylococcus aureus (VRSA, vancomycin MIC ≥ 16 µg/ml) has been isolated. The information reflects the experience gained from field investigations of the first fourteen VRSA identified in the United States. Top of page"
how can the spread of visa and vrsa be prevented?,"On this Page General Information about VISA/VRSA What is Staphylococcus aureus? How do VISA and VRSA get their names? What should a patient do if they suspect they have a Staph, MRSA, VISA, or VRSA infection? Are VISA and VRSA infections treatable? How can the spread of VISA and VRSA be prevented? What should a person do if a family member or close friend has VISA or VRSA? What is CDC doing to address VISA and VRSA? Recommendations and Guidelines General Information about VISA/VRSA For more images of this bacterium, search the Public Health Image Library Vancomycin [van−kō−mī−sin]-intermediate Staphylococcus aureus [staff−u−lu−kaw−kus  aw−ree−us] (also called VISA) and Vancomycin-resistant Staphylococcus aureus (also called VRSA) are specific types of antimicrobial-resistant bacteria. However, as of October 2010, all VISA and VRSA isolates have been susceptible to other Food and Drug Administration (FDA)-approved drugs. Persons who develop this type of staph infection may have underlying health conditions (such as diabetes and kidney disease), tubes going into their bodies (such as catheters), previous infections with methicillin-resistant Staphylococcus aureus (MRSA), and recent exposure to vancomycin and other antimicrobial agents. What is Staphylococcus aureus? Staphylococcus aureus is a bacterium commonly found on the skin and in the nose of about 30% of individuals. Most of the time, staph does not cause any harm. These infections can look like pimples, boils, or other skin conditions and most are able to be treated. Sometimes staph bacteria can get into the bloodstream and cause serious infections which can be fatal, including: Bacteremia or sepsis when bacteria spread to the bloodstream usually as a result of using catheters or having surgery. Pneumonia which predominantly affects people with underlying lung disease including those on mechanical ventilators. Endocarditis (infection of the heart valves) which can lead to heart failure. Osteomyelitis (bone infection) which can be caused by staph bacteria traveling in the bloodstream or put there by direct contact such as following trauma (puncture wound of foot or intravenous (IV) drug abuse). Top of page How do VISA and VRSA get their names? Staph bacteria are classified as VISA or VRSA based on laboratory tests. Laboratories perform tests to determine if staph bacteria are resistant to antimicrobial agents that might be used for treatment of infections. For vancomycin and other antimicrobial agents, laboratories determine how much of the agent it requires to inhibit the growth of the organism in a test tube. The result of the test is usually expressed as a minimum inhibitory concentration (MIC) or the minimum amount of antimicrobial agent that inhibits bacterial growth in the test tube. Therefore, staph bacteria are classified as VISA if the MIC for vancomycin is 4-8µg/ml, and classified as VRSA if the vancomycin MIC is ≥16µg/ml. Top of page What should a patient do if they suspect they have a staph, MRSA, VISA, or VRSA infection? See a healthcare provider. Top of page Are VISA and VRSA infections treatable? Yes. As of October 2010, all VISA and VRSA isolates have been susceptible to several Food and Drug Administration (FDA)-approved drugs. Top of page How can the spread of VISA and VRSA be prevented? Use of appropriate infection control practices (such as wearing gloves before and after contact with infectious body substances and adherence to hand hygiene) by healthcare personnel can reduce the spread of VISA and VRSA. Top of page What should a person do if a family member or close friend has VISA or VRSA? VISA and VRSA are types of antibiotic-resistant staph bacteria. Therefore, as with all staph bacteria, spread occurs among people having close physical contact with infected patients or contaminated material, such as bandages. Persons having close physical contact with infected patients while they are outside of the healthcare setting should: (1) keep their hands clean by washing thoroughly with soap and water, and (2) avoid contact with other people's wounds or material contaminated from wounds. If they go to the hospital to visit a friend or family member who is infected with VISA or VRSA , they must follow the hospital's recommended precautions. Top of page What is CDC doing to address VISA and VRSA? In addition to providing guidance for clinicians and infection control personnel, CDC is also working with state and local health agencies, healthcare facilities, and clinical microbiology laboratories to ensure that laboratories are using proper methods to detect VISA and VRSA. Top of page Recommendations and Guidelines CDC issued a Clinical Reminder, in 2010, which serves as a reminder about the important role of clinical laboratories in the diagnosis of VRSA cases to ensure prompt recognition, isolation, and management by infection control personnel. Investigation and Control of Vancomycin-Resistant Staphylococcus aureus (VRSA) [PDF - 300 KB] - This document is a guide to conducting a public health investigation of patients from whom vancomycin-resistant Staphylococcus aureus (VRSA, vancomycin MIC ≥ 16 µg/ml) has been isolated. The information reflects the experience gained from field investigations of the first fourteen VRSA identified in the United States. Top of page"
what is cdc doing to address visa and vrsa?,"On this Page General Information about VISA/VRSA What is Staphylococcus aureus? How do VISA and VRSA get their names? What should a patient do if they suspect they have a Staph, MRSA, VISA, or VRSA infection? Are VISA and VRSA infections treatable? How can the spread of VISA and VRSA be prevented? What should a person do if a family member or close friend has VISA or VRSA? What is CDC doing to address VISA and VRSA? Recommendations and Guidelines General Information about VISA/VRSA For more images of this bacterium, search the Public Health Image Library Vancomycin [van−kō−mī−sin]-intermediate Staphylococcus aureus [staff−u−lu−kaw−kus  aw−ree−us] (also called VISA) and Vancomycin-resistant Staphylococcus aureus (also called VRSA) are specific types of antimicrobial-resistant bacteria. However, as of October 2010, all VISA and VRSA isolates have been susceptible to other Food and Drug Administration (FDA)-approved drugs. Persons who develop this type of staph infection may have underlying health conditions (such as diabetes and kidney disease), tubes going into their bodies (such as catheters), previous infections with methicillin-resistant Staphylococcus aureus (MRSA), and recent exposure to vancomycin and other antimicrobial agents. What is Staphylococcus aureus? Staphylococcus aureus is a bacterium commonly found on the skin and in the nose of about 30% of individuals. Most of the time, staph does not cause any harm. These infections can look like pimples, boils, or other skin conditions and most are able to be treated. Sometimes staph bacteria can get into the bloodstream and cause serious infections which can be fatal, including: Bacteremia or sepsis when bacteria spread to the bloodstream usually as a result of using catheters or having surgery. Pneumonia which predominantly affects people with underlying lung disease including those on mechanical ventilators. Endocarditis (infection of the heart valves) which can lead to heart failure. Osteomyelitis (bone infection) which can be caused by staph bacteria traveling in the bloodstream or put there by direct contact such as following trauma (puncture wound of foot or intravenous (IV) drug abuse). Top of page How do VISA and VRSA get their names? Staph bacteria are classified as VISA or VRSA based on laboratory tests. Laboratories perform tests to determine if staph bacteria are resistant to antimicrobial agents that might be used for treatment of infections. For vancomycin and other antimicrobial agents, laboratories determine how much of the agent it requires to inhibit the growth of the organism in a test tube. The result of the test is usually expressed as a minimum inhibitory concentration (MIC) or the minimum amount of antimicrobial agent that inhibits bacterial growth in the test tube. Therefore, staph bacteria are classified as VISA if the MIC for vancomycin is 4-8µg/ml, and classified as VRSA if the vancomycin MIC is ≥16µg/ml. Top of page What should a patient do if they suspect they have a staph, MRSA, VISA, or VRSA infection? See a healthcare provider. Top of page Are VISA and VRSA infections treatable? Yes. As of October 2010, all VISA and VRSA isolates have been susceptible to several Food and Drug Administration (FDA)-approved drugs. Top of page How can the spread of VISA and VRSA be prevented? Use of appropriate infection control practices (such as wearing gloves before and after contact with infectious body substances and adherence to hand hygiene) by healthcare personnel can reduce the spread of VISA and VRSA. Top of page What should a person do if a family member or close friend has VISA or VRSA? VISA and VRSA are types of antibiotic-resistant staph bacteria. Therefore, as with all staph bacteria, spread occurs among people having close physical contact with infected patients or contaminated material, such as bandages. Persons having close physical contact with infected patients while they are outside of the healthcare setting should: (1) keep their hands clean by washing thoroughly with soap and water, and (2) avoid contact with other people's wounds or material contaminated from wounds. If they go to the hospital to visit a friend or family member who is infected with VISA or VRSA , they must follow the hospital's recommended precautions. Top of page What is CDC doing to address VISA and VRSA? In addition to providing guidance for clinicians and infection control personnel, CDC is also working with state and local health agencies, healthcare facilities, and clinical microbiology laboratories to ensure that laboratories are using proper methods to detect VISA and VRSA. Top of page Recommendations and Guidelines CDC issued a Clinical Reminder, in 2010, which serves as a reminder about the important role of clinical laboratories in the diagnosis of VRSA cases to ensure prompt recognition, isolation, and management by infection control personnel. Investigation and Control of Vancomycin-Resistant Staphylococcus aureus (VRSA) [PDF - 300 KB] - This document is a guide to conducting a public health investigation of patients from whom vancomycin-resistant Staphylococcus aureus (VRSA, vancomycin MIC ≥ 16 µg/ml) has been isolated. The information reflects the experience gained from field investigations of the first fourteen VRSA identified in the United States. Top of page"
Who is at risk for Crimean-Congo Hemorrhagic Fever (CCHF)? ?,"Ixodid (hard) ticks, especially those of the genus, Hyalomma, are both a reservoir and a vector for the CCHF virus. Numerous wild and domestic animals, such as cattle, goats, sheep and hares, serve as amplifying hosts for the virus. Transmission to humans occurs through contact with infected ticks or animal blood. CCHF can be transmitted from one infected human to another by contact with infectious blood or body fluids. Documented spread of CCHF has also occurred in hospitals due to improper sterilization of medical equipment, reuse of injection needles, and contamination of medical supplies."
What are the symptoms of Crimean-Congo Hemorrhagic Fever (CCHF) ?,"The onset of CCHF is sudden, with initial signs and symptoms including headache, high fever, back pain, joint pain, stomach pain, and vomiting. Red eyes, a flushed face, a red throat, and petechiae (red spots) on the palate are common. Symptoms may also include jaundice, and in severe cases, changes in mood and sensory perception. 
                
As the illness progresses, large areas of severe bruising, severe nosebleeds, and uncontrolled bleeding at injection sites can be seen, beginning on about the fourth day of illness and lasting for about two weeks. In documented outbreaks of CCHF, fatality rates in hospitalized patients have ranged from 9% to as high as 50%. 
                
The long-term effects of CCHF infection have not been studied well enough in survivors to determine whether or not specific complications exist. However, recovery is slow."
Who is at risk for Crimean-Congo Hemorrhagic Fever (CCHF)? ?,"Animal herders, livestock workers, and slaughterhouse workers in endemic areas are at risk of CCHF. Healthcare workers in endemic areas are at risk of infection through unprotected contact with infectious blood and body fluids. Individuals and international travelers with contact to livestock in endemic regions may also be exposed."
How to diagnose Crimean-Congo Hemorrhagic Fever (CCHF) ?,"Laboratory tests that are used to diagnose CCHF include antigen-capture enzyme-linked immunosorbent assay (ELISA), real time polymerase chain reaction (RT-PCR), virus isolation attempts, and detection of antibody by ELISA (IgG and IgM). Laboratory diagnosis of a patient with a clinical history compatible with CCHF can be made during the acute phase of the disease by using the combination of detection of the viral antigen (ELISA antigen capture), viral RNA sequence (RT-PCR) in the blood or in tissues collected from a fatal case and virus isolation. Immunohistochemical staining can also show evidence of viral antigen in formalin-fixed tissues. Later in the course of the disease, in people surviving, antibodies can be found in the blood. But antigen, viral RNA and virus are no more present and detectable"
What are the treatments for Crimean-Congo Hemorrhagic Fever (CCHF) ?,"Treatment for CCHF is primarily supportive. Care should include careful attention to fluid balance and correction of electrolyte abnormalities, oxygenation and hemodynamic support, and appropriate treatment of secondary infections. The virus is sensitive in vitro to the antiviral drug ribavirin. It has been used in the treatment of CCHF patients reportedly with some benefit. 
Recovery 
                
The long-term effects of CCHF infection have not been studied well enough in survivors to determine whether or not specific complications exist. However, recovery is slow."
How to prevent Crimean-Congo Hemorrhagic Fever (CCHF) ?,"Agricultural workers and others working with animals should use insect repellent on exposed skin and clothing. Insect repellants containing DEET (N, N-diethyl-m-toluamide) are the most effective in warding off ticks. Wearing gloves and other protective clothing is recommended. Individuals should also avoid contact with the blood and body fluids of livestock or humans who show symptoms of infection. It is important for healthcare workers to use proper infection control precautions to prevent occupational exposure. 
                
An inactivated, mouse-brain derived vaccine against CCHF has been developed and is used on a small scale in Eastern Europe. However, there is no safe and effective vaccine currently available for human use. Further research is needed to develop these potential vaccines as well as determine the efficacy of different treatment options including ribavirin and other antiviral drugs."
How to prevent Eastern Equine Encephalitis ?,"There is no vaccine against Eastern equine encephalitis virus (EEEV) for humans. Reducing exposure to mosquitoes is the best defense against infection with EEEV and other mosquito-borne viruses. There are several approaches you and your family can use to prevent and control mosquito-borne diseases. 
   
   -  Use repellent: When outdoors, use insect repellent containing DEET, picaridin, IR3535 or oil of lemon eucalyptus on exposed skin and/or clothing. The repellent/insecticide permethrin can be used on clothing to protect through several washes. Always follow the directions on the package.  
   -  Wear protective clothing: Wear long sleeves and pants when weather permits.  
   -  Install and repair screens: Have secure, intact screens on windows and doors to keep mosquitoes out.  
   -  Keep mosquitoes from laying eggs near you: Mosquitoes can lay eggs even in small amounts of standing water. Get rid of mosquito breeding sites by emptying standing water from flower pots, buckets, barrels, and tires. Change the water in pet dishes and replace the water in bird baths weekly. Drill holes in tire swings so water drains out. Empty children's wading pools and store on their side after use.  
"
Who is at risk for Lujo Hemorrhagic Fever (LUHF)? ?,"Like all arenaviruses, Lujo virus has a rodent host as its reservoir. Humans can contract LUHF through contact with an infected rodent. Contact can be direct or through inhalation of aerosolized Lujo virus from the urine or feces of infected rodents. 
 
Person-to-person transmission of Lujo virus was observed in the small, nosocomial cluster of hemorrhagic disease which resulted in the discovery of the Lujo virus. 
 
Transmission of arenaviruses, and Lujo virus in particular, is most likely the result of direct contact with the body fluids of an infected person, in the absence of infection control precautions."
What are the symptoms of Lujo Hemorrhagic Fever (LUHF) ?,"The symptoms of Lujo hemorrhagic fever, as described in the five patients in the original cluster outbreak, resemble those of severe Lassa Fever. After an incubation period of 7 to 13 days, the clinical course started by a non-specific febrile illness accompanied by headache and muscle pain. 
                
The disease increases in severity, with: 
 
 - a morbilliform rash of the face and trunk 
 - face and neck swelling 
 - pharyngitis (sore throat) 
 - diarrhea 
 
                
Bleeding was not a prominent feature during the illness. 
                
In the fatal cases (4/5 patients), a transient improvement was followed by: 
 
 - rapid deterioration with respiratory distress 
 - neurological signs and circulatory collapse 
 
                
Death occurred 10 to 13 days after onset. 
                
Low blood platelets, low white blood cell count (at the onset, rising later on) and elevated liver function values were present in all patients. 
                
Since Arenaviruses may enter the fetus through infection of the mother, and anectodal evidence suggests that infected pregnant women may suffer miscarriages, it is reasonable to assume that both infection of the fetus and miscarriage may be associated with Lujo infection in the mother."
Who is at risk for Lujo Hemorrhagic Fever (LUHF)? ?,"Lujo hemorrhagic fever (LUHF) occurs in southern Africa. The initial case was certainly infected in Zambia. 
   Field workers 
   
Field workers are at greatest risk because of increased human contact with the reservoir rodent population. Sexual partners of field workers may be at greater risk as well. In addition to nosocomial infection in healthcare workers already described, laboratory infections have been frequently described with Arenaviruses and Lujo virus can certainly be transmitted to laboratory workers during manipulation of the virus, especially during experimental infections of rodents."
How to diagnose Lujo Hemorrhagic Fever (LUHF) ?,"During the acute febrile phase, Lujo virus was isolated from blood from days 2 to 13 after onset. Virus was also isolated from liver tissue obtained post-mortem. A subsequent complete genomic analysis of Lujo virus facilitated the development of specific molecular detection (RT-PCR) assays. 
   
Serologic diagnosis of Lujo hemorrhagic fever can be made by indirect immunofluorescent assay and ELISA. However, individuals from endemic areas displaying fever, rash, pharyngitis, accompanied by laboratory findings of low platelet counts and elevated liver enzymes, should be suspected of having a hemorrhagic fever virus infection. Clinical specimens should be tested using specific assays."
What are the treatments for Lujo Hemorrhagic Fever (LUHF) ?,"Supportive therapy is important in Lujo hemorrhagic fever. This includes: 
    
    - maintenance of hydration 
    - management of shock 
    - sedation 
    - pain relief 
    - usual precautions for patients with bleeding disorders 
    - transfusions (when necessary) 
    
   
Treatment of arenavirus hemorrhagic fevers with convalescent plasma therapy reduces mortality significantly and anectodal evidence from the only surviving Lujo patient shows that the antiviral drug ribavirin may hold promise in the treatment of LUHF. Ribavirin has been considered for preventing development of disease in people exposed to other arenaviruses. 
   Recovery 
   
The precise mortality of LUHF is unknown, but 4 of 5 described cases were fatal. 
   
Patients who have suffered from other arenaviruses may excrete virus in urine or semen for weeks after recovery. For this reason, these fluids should be monitored for infectivity, since convalescent patients have the potential to infect others (particularly sexual partners) via these fluids."
How to prevent Lujo Hemorrhagic Fever (LUHF) ?,"Although rodent control would be desirable, it will not be a successful strategy for preventing Lujo hemorrhagic fever cases caused by exposures outdoors. 
   
As for other hemorrhagic fevers, full barrier nursing procedures should be implemented during management of suspected or confirmed LUHF cases (no infection occurred after their implementation in South Africa)."
how vaccines prevent disease,"Why Are Childhood Vaccines So Important? It is always better to prevent a disease than to treat it after it occurs. Diseases that used to be common in this country and around the world, including polio, measles, diphtheria, pertussis (whooping cough), rubella (German measles), mumps, tetanus, rotavirus and Haemophilus influenzae type b (Hib) can now be prevented by vaccination. Thanks to a vaccine, one of the most terrible diseases in history – smallpox – no longer exists outside the laboratory. Over the years vaccines have prevented countless cases of disease and saved millions of lives. Immunity Protects us From Disease Immunity is the body’s way of preventing disease.  Children are born with an immune system composed of cells, glands, organs, and fluids located throughout the body. The immune system recognizes germs that enter the body as ""foreign invaders” (called antigens) and produces proteins called antibodies to fight them. The first time a child is infected with a specific antigen (say measles virus), the immune system produces antibodies designed to fight it. This takes time . . . usually the immune system can’t work fast enough to prevent the antigen from causing disease, so the child still gets sick.  However, the immune system “remembers” that antigen. If it ever enters the body again, even after many years, the immune system can produce antibodies fast enough to keep it from causing disease a second time. This protection is called immunity. It would be nice if there were a way to give children immunity to a disease without their having to get sick first. In fact there is: Vaccines contain the same antigens (or parts of antigens) that cause diseases. For example, measles vaccine contains measles virus. But the antigens in vaccines are either killed, or weakened to the point that they don’t cause disease. However, they are strong enough to make the immune system produce antibodies that lead to immunity. In other words, a vaccine is a safer substitute for a child’s first exposure to a disease. The child gets protection without having to get sick. Through vaccination, children can develop immunity without suffering from the actual diseases that vaccines prevent. Top of Page More Facts Newborn babies are immune to many diseases because they have antibodies they got from their mothers. However, this immunity goes away during the first year of life. If an unvaccinated child is exposed to a disease germ, the child's body may not be strong enough to fight the disease. Before vaccines, many children died from diseases that vaccines now prevent, such as whooping cough, measles, and polio. Those same germs exist today, but because babies are protected by vaccines, we don’t see these diseases nearly as often. Immunizing individual children also helps to protect the health of our community, especially those people who cannot be immunized (children who are too young to be vaccinated, or those who can’t receive certain vaccines for medical reasons), and the small proportion of people who don’t respond to a particular vaccine. Vaccine-preventable diseases have a costly impact, resulting in doctor's visits, hospitalizations, and premature deaths. Sick children can also cause parents to lose time from work.   Related Pages Why Immunize? Vaccines: A Safe Choice Parents Guide to Immunizations For Parents: How Vaccines Prevent Diseases Top of Page   Images and logos on this website which are trademarked/copyrighted or used with permission of the trademark/copyright or logo holder are not in the public domain. These images and logos have been licensed for or used with permission in the materials provided on this website. The materials in the form presented on this website may be used without seeking further permission. Any other use of trademarked/copyrighted images or logos requires permission from the trademark/copyright holder...more This graphic notice means that you are leaving an HHS Web site. For more information, please see the Exit Notification and Disclaimer policy."
Who is at risk for ? ?,"Measles: Make Sure Your Child Is Protected with MMR Vaccine Measles starts with a fever. Soon after, it causes a cough, runny nose, and red eyes. Then a rash of tiny, red spots breaks out. Measles can be serious for young children. Learn about protecting your child from measles with MMR vaccine. Protect your child at every age. Click on your child's age group for vaccine information. View or print age-specific vaccine information [252 KB, 27 pages] Records & Requirements Recording immunizations Finding immunization records Interpreting abbreviations on records Immunization requirements for child care and schools Making the Vaccine Decision How vaccines prevent diseases Vaccine side effects/risks Vaccine ingredients Ensuring vaccine safety Vaccines and your child’s immune system Learn More About Preteen and Teen Vaccines The Vaccines For Children program has helped prevent diseases and save lives…big time! [enlarged view] Watch The Immunization Baby Book Learn what vaccines your child needs, when they are needed, and why it is so important to follow the CDC’s recommended immunization schedule as you flip through this video baby book (4:04 mins) on CDC-TV or on YouTube. Who & When (Immunization Schedules) Birth through 6 Years Schedule [2 pages] Create a schedule for your child 7 through 18 Years Schedule [2 pages] 19 Years and Older Schedule [2 pages] Learn more about how CDC sets the immunization schedule for your family Knowing the childhood vaccination rates in your community is important. More Diseases and the Vaccines that Prevent Them Learn more about the 16 diseases that can be prevented with vaccines, as well as the benefits and risks of vaccination. Learn More About... Adoption and Vaccines Pregnancy Help Paying for Vaccines Evaluating Information on the Web"
How to prevent  ?,"Vaccines and Preventable Diseases On this Page Vaccine Shortages & Delays Potential New Vaccines Vaccines: The Basics FAQ about Vaccines & Diseases they Prevent   VACCINE-PREVENTABLE DISEASES OR, find it by Vaccine Anthrax Cervical Cancer Diphtheria Hepatitis A Hepatitis B Haemophilus influenzae type b (Hib) Human Papillomavirus (HPV) H1N1 Flu (Swine Flu) Influenza (Seasonal Flu) Japanese Encephalitis (JE) Measles Meningococcal Mumps Pertussis (Whooping Cough) Pneumococcal Poliomyelitis (Polio) Rabies Rotavirus Rubella (German Measles) Shingles (Herpes Zoster) Smallpox Tetanus (Lockjaw) Tuberculosis Typhoid Fever Varicella (Chickenpox) Yellow Fever At a Glance Vaccine-preventable disease levels are at or near record lows. Even though most infants and toddlers have received all recommended vaccines by age 2, many under-immunized children remain, leaving the potential for outbreaks of disease. Many adolescents and adults are under-immunized as well, missing opportunities to protect themselves against diseases such as Hepatitis B, influenza, and pneumococcal disease. CDC works closely with public health agencies and private partners to improve and sustain immunization coverage and to monitor the safety of vaccines so that this public health success story can be maintained and expanded in the century to come. Vaccine Shortages & Delays The latest national information about vaccine supplies and guidance for healthcare providers who are facing vaccine shortages or delays Chart of shortages & delays   Potential New Vaccines Resources for finding information on potential vaccines, research and development status, licensure status, etc. New Vaccine Surveillance Network Program evaluates impact of new vaccines and vaccine policies through a network of 6 US sites Status of Licensure and Recs for New Vaccines American Academy of Pediatrics (AAP) Potential New Vaccines Immunization Action Coalition (IAC)   Vaccines: The Basics Without vaccines, epidemics of many preventable diseases could return, resulting in increased – and unnecessary – illness, disability, and death. All about vaccines How vaccines prevent disease List of all vaccine-preventable diseases List of all vaccines used in United States Photos of vaccine-preventable diseases and/or people affected by them View all...   FAQ about Vaccines & Diseases they Prevent What are the ingredients in vaccines? What vaccines do adults need? What vaccines do children need? What vaccines are used in the United States? What diseases do vaccines prevent? View all...   Related Pages Basics and Common Questions Who Should NOT Get These Vaccines? Unprotected Stories Top of Page   Images and logos on this website which are trademarked/copyrighted or used with permission of the trademark/copyright or logo holder are not in the public domain. These images and logos have been licensed for or used with permission in the materials provided on this website. The materials in the form presented on this website may be used without seeking further permission. Any other use of trademarked/copyrighted images or logos requires permission from the trademark/copyright holder...more This graphic notice means that you are leaving an HHS Web site. For more information, please see the Exit Notification and Disclaimer policy."
what diseases are vaccine preventable,"List of Vaccine-Preventable Diseases The following links will lead you to the main page that describes both the disease and the vaccine(s). Vaccines are available for all of the following vaccine-preventable diseases (unless otherwise noted): Anthrax Cervical Cancer (Human Papillomavirus) Diphtheria Hepatitis A Hepatitis B Haemophilus influenzae type b (Hib) Human Papillomavirus (HPV) Influenza (Flu) Japanese encephalitis (JE) Measles Meningococcal Mumps Pertussis Pneumococcal Polio Rabies Rotavirus Rubella Shingles (Herpes Zoster) Smallpox Tetanus Typhoid Tuberculosis (TB) Varicella (Chickenpox) Yellow Fever Related Pages For Parents: What You Need to Know List of Vaccines Used in U.S. Photos of diseases Top of Page   Images and logos on this website which are trademarked/copyrighted or used with permission of the trademark/copyright or logo holder are not in the public domain. These images and logos have been licensed for or used with permission in the materials provided on this website. The materials in the form presented on this website may be used without seeking further permission. Any other use of trademarked/copyrighted images or logos requires permission from the trademark/copyright holder...more This graphic notice means that you are leaving an HHS Web site. For more information, please see the Exit Notification and Disclaimer policy."
